신체부위,운동 이름,난이도,운동방법,효과,주의사항
가슴,푸시업,초급,엎드린 상태에서 팔을 굽혔다 펴는 상체 운동,"가슴(대흉근), 어깨 삼각근, 팔 뒤쪽(삼두근)",엉덩이가 아래로 처지거나 위로 솟지 않도록 몸을 일직선으로 유지합니다. 초보자는 무릎을 대고 진행하세요.
가슴,인클라인 푸시업,초급,탁자나 벤치 등 높은 곳에 손을 딛고 진행하는 푸쉬업,가슴 하부 근력 및 코어 강화,손목 부담을 줄이기 위해 체중을 손바닥 아래쪽에 고르게 싣습니다.
가슴,디클라인 푸시업,초급,발을 높은 곳에 두고 손을 바닥에 짚고 하는 푸쉬업,가슴 상부 근력 및 기능 향상,체중이 상체에 많이 실리므로 어깨와 손목 부상에 주의합니다.
가슴,체스트 프레스 머신,초급,머신 의자에 앉아 앞으로 바를 밀어내는 운동,"가슴(대흉근), 팔 뒤쪽 기초 근력",바를 밀 때 어깨가 앞으로 말려 나가지 않도록 등을 패드에 단단히 밀착시킵니다.
가슴,팩 덱 플라이 머신,초급,양팔을 안쪽으로 모아 가슴을 모아주는 머신 운동,가슴 안쪽(대흉근) 라인 형성,팔꿈치를 너무 과하게 펴면 어깨 관절에 무리가 가므로 약간 구부린 상태를 유지합니다.
가슴,벤치프레스,중급,벤치에 누워 바벨을 가슴 위로 밀어 올리는 운동,가슴 전체 볼륨감 및 상체 근력 향상,바벨을 내릴 때 손목이 꺾이지 않게 하고 바가 전하방으로 치우치지 않게 제어합니다.
가슴,인클라인 덤벨 벤치프레스,중급,약 30~40도로 조절된 벤치에 누워 덤벨을 위로 밀어 올리는 운동,"가슴 상부, 전면 어깨 볼륨감","덤벨을 위로 밀 때, 가슴 상부 수직 방향으로 흔들림 없이 움직이게 합니다."
가슴,덤벨 프레스,중급,평평한 벤치에 누워 덤벨을 위로 밀어 올리는 운동,가슴 가동범위 확장 및 좌우 균형 발달,덤벨이 바깥으로 벌어지거나 안으로 부딪히지 않게 수직 동선을 유지합니다.
가슴,덤벨 플라이,중급,벤치에 누워 양팔을 옆으로 벌렸다가 안으로 모으는 운동,가슴 바깥쪽 및 안쪽 라인 발달,"팔꿈치 각도를 일정하게 유지하고, 과도하게 내려 어깨에 무리가 가지 않게 합니다."
가슴,케이블 크로스오버,고급,케이블 머신 가운데서 양손으로 손잡이를 당겨 모으는 운동,가슴 안쪽 및 하부 고립 자극,상체 각도를 고정하고 팔의 힘이 아닌 가슴의 수축력으로만 모아줍니다.
가슴,체스트 프레스,고급,바벨을 이용하여 가슴 전방으로 강하게 밀어내는 운동,가슴 대흉근 근력 대폭 향상,어깨가 위로 솟지 않도록 패킹을 유지하고 날개뼈를 벤치에 고정합니다.
가슴,딥스,고급,평행봉 위에 올라서서 상체를 앞으로 숙여 몸을 내렸다 올리는 운동,가슴 하부 및 삼두근 강한 자극,어깨 관절이 과도하게 꺾이지 않도록 통제 가능한 범위까지만 내려갑니다.
등,슈퍼맨 운동,초급,엎드린 상태에서 양팔과 다리를 위로 들어 올리는 운동,"척추기립근(허리), 엉덩이 강화",상하체를 동시에 들 때 허리를 과도하게 꺾어 쥐어짜지 말고 뒷부분의 긴장감만 느낍니다.
등,밴드 로우,초급,고정된 탄성 밴드를 몸쪽으로 당기는 운동,등 근육 자극 및 기초 근력 향상,반동을 이용하지 말고 날개뼈를 접어주며 등 근육의 수축에 집중합니다.
등,랫 풀 다운,중급,머신에 앉아 바를 가슴 쪽으로 끌어내리는 등 운동,"등(광배근), 팔 앞쪽(이두근) 발달","바를 손 힘으로 당기지 말고, 팔꿈치로 옆구리를 찍는 느낌으로 내립니다."
등,시티드 로우,중급,케이블이나 머신의 바를 몸쪽으로 당기는 등 운동,"등 중부(능형근, 광배근) 강화","바를 당길 때 어깨를 내리며 날개뼈를 모아주고, 허리가 구부러지지 않게 합니다."
